id,first_name,last_name,position,height,weight,birth_date,college,drafted_year,bio
19,Oscar,Robertson,PG,6-5,220,1938-11-24,Cincinnati,1960,Averaged a triple-double for an entire season (1961-62). Won 1 NBA championship with the Bucks.
20,Karl,Malone,PF,6-9,265,1963-07-24,Louisiana Tech,1985,2-time MVP and 14-time All-Star. Second all-time leading scorer with 36928 points.
21,Moses,Malone,C,6-10,260,1955-03-23,Petersburg HS,1974,3-time MVP and 1983 NBA champion and Finals MVP. Dominant offensive rebounder.
22,Charles,Barkley,PF,6-6,252,1963-02-20,Auburn,1984,1993 MVP and 11-time All-Star. Known for rebounding despite being undersized for his position.
23,David,Robinson,C,7-1,235,1965-08-06,Navy,1987,"2-time NBA champion and 1995 MVP. Only player to win DPOY, MVP, and Scoring Champion in the same season (1994)."
24,Patrick,Ewing,C,7-0,255,1962-08-05,Georgetown,1985,11-time All-Star and 1992 Dream Team member. One of the greatest centers never to win a championship.
25,John,Stockton,PG,6-1,170,1962-03-26,Gonzaga,1984,All-time leader in assists (15806) and steals (3265). 10-time All-Star and 1992 Dream Team member.
26,Isiah,Thomas,PG,6-1,180,1961-04-30,Indiana,1981,2-time NBA champion and 1990 Finals MVP. Led the Bad Boy Pistons with fierce competitiveness.
27,Scottie,Pippen,SF,6-8,210,1965-09-25,Central Arkansas,1987,6-time NBA champion with the Bulls. One of the greatest perimeter defenders and point forwards.
28,Chris,Paul,PG,6-0,175,1985-05-06,Wake Forest,2005,12-time All-Star and 4-time assists leader. One of the greatest pure point guards in NBA history.
29,James,Harden,SG,6-5,220,1989-08-26,Arizona State,2009,2018 MVP and 3-time scoring champion. Known for step-back three and elite playmaking.
30,Russell,Westbrook,PG,6-3,200,1988-11-12,UCLA,2008,2017 MVP and all-time leader in triple-doubles. Only player to average a triple-double in multiple seasons.
31,Kawhi,Leonard,SF,6-7,225,1991-06-29,San Diego State,2011,2-time NBA champion and 2-time Finals MVP. 2-time DPOY with legendary defensive skills.
32,Nikola,Jokic,C,6-11,284,1995-02-19,None,2014,3-time MVP and 2023 NBA champion and Finals MVP. Revolutionary passing center.
33,Joel,Embiid,C,7-0,280,1994-03-16,Kansas,2014,2023 MVP and 7-time All-Star. Dominant two-way center.
34,Luka,Doncic,PG,6-7,230,1999-02-28,None,2018,5-time All-Star and 2019 Rookie of the Year. Elite scorer and playmaker.
35,Julius,Erving,SF,6-7,210,1950-02-22,Massachusetts,1972,ABA and NBA legend. Won 3 ABA championships and 1 NBA championship (1983 Sixers). Revolutionized above-the-rim play.
36,Rick,Barry,SF,6-7,205,1944-03-28,Miami (FL),1965,"Only player to lead the NCAA, ABA, and NBA in scoring. Won 1975 NBA championship with underhanded free throws."
37,George,Gervin,SG,6-7,185,1952-04-27,Eastern Michigan,1974,4-time NBA scoring champion. Known for his finger roll and smooth scoring with the Spurs.
38,Moses,Malone,C,6-10,260,1955-03-23,Petersburg HS,1974,3-time MVP and 1983 champion. Dominant offensive rebounder who started the modern NBA trend of jumping from HS to pros.
39,Bob,McAdoo,C,6-9,210,1951-09-25,North Carolina,1972,1975 MVP and 2-time NBA champion with the Lakers. Versatile scoring big man ahead of his time.
40,Dominique,Wilkins,SF,6-7,215,1960-01-12,Georgia,1982,9-time All-Star and 2-time Slam Dunk Contest champion. Known as the Human Highlight Film.
41,Clyde,Drexler,SG,6-7,210,1962-06-22,Houston,1983,1995 NBA champion with the Rockets. 10-time All-Star and one of the greatest shooting guards.
42,Gary,Payton,PG,6-4,180,1968-07-23,Oregon State,1990,2006 NBA champion. Only point guard to win DPOY (1996). Known as The Glove for elite defense.
43,Jason,Kidd,PG,6-4,210,1973-03-23,California,1994,2011 NBA champion with the Mavericks. 10-time All-Star and second all-time in assists and steals.
44,Steve,Nash,PG,6-3,178,1974-02-07,Santa Clara,1996,"2-time MVP (2005, 2006). One of the greatest shooters and playmakers. Led seven-second offense Suns."
45,Allen,Iverson,SG,6-0,165,1975-06-07,Georgetown,1996,2001 MVP and 11-time All-Star. 4-time scoring champion. Known for crossover and scoring prowess.
46,Ray,Allen,SG,6-5,205,1975-07-20,UConn,1996,2-time NBA champion. All-time leader in three-pointers until surpassed by Curry. Known for clutch shooting.
47,Reggie,Miller,SG,6-7,195,1965-08-24,UCLA,1987,5-time All-Star. Known for clutch shooting and 8 points in 9 seconds. Third on all-time three-point list at retirement.
48,Vince,Carter,SG,6-6,220,1977-01-26,North Carolina,1998,8-time All-Star and 2000 Slam Dunk champion. Known for longevity across 4 decades.
49,Tracy,McGrady,SG,6-8,210,1979-05-24,Mount Zion Christian HS,1997,7-time All-Star and 2-time scoring champion. 13 points in 33 seconds vs Spurs.
50,Chris,Bosh,PF,6-11,235,1984-03-24,Georgia Tech,2003,2-time NBA champion with the Heat. 11-time All-Star whose career was cut short by blood clots.
51,Anthony,Davis,PF,6-10,253,1993-03-11,Kentucky,2012,2020 NBA champion. 8-time All-Star and elite two-way big man.
52,Paul,George,SF,6-8,220,1990-05-02,Fresno State,2010,9-time All-Star and 4-time All-NBA selection. Two-way wing known for scoring and defense.
53,James,Worthy,SF,6-9,225,1961-02-27,North Carolina,1982,3-time NBA champion and 1988 Finals MVP. Known as Big Game James for clutch playoff performances.
54,Joe,Dumars,SG,6-3,190,1963-05-24,McNeese State,1985,2-time NBA champion and 1989 Finals MVP. Elite defender who contained Michael Jordan.
55,Kevin,McHale,PF,6-10,210,1957-12-19,Minnesota,1980,3-time NBA champion with the Celtics. Known for unstoppable low-post moves and elite defense.
56,Robert,Parish,C,7-0,230,1953-08-30,Centenary,1976,4-time NBA champion. Member of the original Big Three with Bird and McHale. Holds record for most games played.
